year,rate
1955,4.383333
1956,4.141667
1957,4.258333
1958,6.8
1959,5.475
1960,5.508333
1961,6.683333
1962,5.541667
1963,5.666667
1964,5.191667
1965,4.525
1966,3.783333
1967,3.841667
1968,3.583333
1969,3.508333
1970,4.933333
1971,5.958333
1972,5.616667
1973,4.891667
1974,5.591667
1975,8.466666
1976,7.716667
1977,7.066667
1978,6.066667
1979,5.833333
1980,7.141667
1981,7.6
1982,9.708333
1983,9.616667
1984,7.525
1985,7.191667
1986,6.991667
1987,6.191667
1988,5.491667
1989,5.266667
1990,5.616667
1991,6.816667
1992,7.508333
1993,6.9
1994,6.083333
1995,5.608333
1996,5.416667
1997,4.95
1998,4.508333
1999,4.216667
2000,3.991667
2001,4.733333
2002,5.775
2003,5.991667
2004,5.533333
2005,5.066667
2006,4.616667
2007,4.616667
2008,5.775
2009,9.266666
2010,9.616667
2011,8.95
2012,8.066667
2013,7.375
2014,6.166667
2015,5.291667
2016,4.866667
2017,4.35
2018,3.9
2019,3.666667
2020,8.091666
